timestamp,message
1736766808430,"{""time"":""2025-01-13T11:13:28.430Z"",""type"":""platform.start"",""record"":{""requestId"":""36cceae1-919f-412b-91a9-eb5a1c8bce6b"",""version"":""$LATEST""}}"
1736766808431,"{""timestamp"": ""2025-01-13T11:13:28Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""36cceae1-919f-412b-91a9-eb5a1c8bce6b""}
"
1736766808431,"{""timestamp"": ""2025-01-13T11:13:28Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:13:28.431498\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.39\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""36cceae1-919f-412b-91a9-eb5a1c8bce6b""}
"
1736766808499,"{""timestamp"": ""2025-01-13T11:13:28Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""36cceae1-919f-412b-91a9-eb5a1c8bce6b""}
"
1736766808500,"{""time"":""2025-01-13T11:13:28.500Z"",""type"":""platform.report"",""record"":{""requestId"":""36cceae1-919f-412b-91a9-eb5a1c8bce6b"",""metrics"":{""durationMs"":69.483,""billedDurationMs"":70,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766817835,"{""time"":""2025-01-13T11:13:37.835Z"",""type"":""platform.start"",""record"":{""requestId"":""d4a43de5-7e33-450f-8c04-42bb3b4778d3"",""version"":""$LATEST""}}"
1736766817836,"{""timestamp"": ""2025-01-13T11:13:37Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""d4a43de5-7e33-450f-8c04-42bb3b4778d3""}
"
1736766817836,"{""timestamp"": ""2025-01-13T11:13:37Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:13:37.836231\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""213.162.193.244\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""d4a43de5-7e33-450f-8c04-42bb3b4778d3""}
"
1736766817905,"{""timestamp"": ""2025-01-13T11:13:37Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""d4a43de5-7e33-450f-8c04-42bb3b4778d3""}
"
1736766817906,"{""time"":""2025-01-13T11:13:37.906Z"",""type"":""platform.report"",""record"":{""requestId"":""d4a43de5-7e33-450f-8c04-42bb3b4778d3"",""metrics"":{""durationMs"":71.194,""billedDurationMs"":72,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766826651,"{""time"":""2025-01-13T11:13:46.651Z"",""type"":""platform.start"",""record"":{""requestId"":""c210ef20-5eb3-4524-9fa7-1292e637d10a"",""version"":""$LATEST""}}"
1736766826651,"{""timestamp"": ""2025-01-13T11:13:46Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""c210ef20-5eb3-4524-9fa7-1292e637d10a""}
"
1736766826652,"{""timestamp"": ""2025-01-13T11:13:46Z"", ""level"": ""INFO"", ""message"": ""{\""timestamp\"": \""2025-01-13T11:13:46.651735\"", \""source_client_ip\"": \""193.145.230.x\"", \""lambda_ip\"": \""169.254.66.x\"", \""destination_host\"": \""ocsp.xxxx.es\"", \""destination_ip\"": \""195.77.23.41\"", \""source_region\"": \""eu-north-1\"", \""destination_region\"": \""us-west-2\"", \""method\"": \""POST\"", \""request_url\"": \""http://ocsp.xxxx.es\""}"", ""logger"": ""network.connections"", ""requestId"": ""c210ef20-5eb3-4524-9fa7-1292e637d10a""}
"
1736766826720,"{""timestamp"": ""2025-01-13T11:13:46Z"", ""level"": ""INFO"", ""message"": ""Request through us-west-2 successful with status 200"", ""logger"": ""root"", ""requestId"": ""c210ef20-5eb3-4524-9fa7-1292e637d10a""}
"
1736766826721,"{""time"":""2025-01-13T11:13:46.721Z"",""type"":""platform.report"",""record"":{""requestId"":""c210ef20-5eb3-4524-9fa7-1292e637d10a"",""metrics"":{""durationMs"":70.06,""billedDurationMs"":71,""memorySizeMB"":256,""maxMemoryUsedMB"":55},""status"":""success""}}"
1736766834674,"{""time"":""2025-01-13T11:13:54.674Z"",""type"":""platform.start"",""record"":{""requestId"":""300986c0-8a80-44f4-857d-22093a58bb02"",""version"":""$LATEST""}}"
1736766834675,"{""timestamp"": ""2025-01-13T11:13:54Z"", ""level"": ""INFO"", ""message"": ""Received OCSP request of size 155 bytes from 193.145.230.x"", ""logger"": ""root"", ""requestId"": ""300986c0-8a80-44f4-857d-22093a58bb02""}
"
